numberof_packages;packages_weight
1;4
1;4
1;5
1;2
1;7
1;2
1;9
1;9
1;3
1;3
1;5
1;6
1;5
1;4
1;2
1;2
1;6
1;2
1;5
2;21
1;1
1;3
1;3
1;3
1;6
1;4
1;4
1;2
1;1
1;1
1;2
1;2
1;10
1;10
1;5
5;5
1;1
1;4
1;15
1;10
1;15
1;2
1;10
2;6
2;10
1;2
1;7
1;10
1;10
1;3
1;3
1;3
1;4
1;10
1;4
1;2
1;10
1;5
1;13
1;4
1;3
1;2
1;10
1;7
1;7
2;22
1;8
1;1
1;9
1;3
1;2
1;3
1;12
2;12
1;2
1;7
1;10
1;1
1;17
2;13
1;2
1;3
2;7
4;49
1;19
2;15
8;59
1;2
5;44
1;17
1;2
2;19
1;7
1;3
8;72
1;6
1;8
1;10
1;5
1;5
2;25
1;6
1;11
3;24
1;3
1;2
1;15
2;10
1;4
2;21
1;5
2;13
1;1
4;35
2;15
3;28
1;5
1;6
1;14
1;3
1;4
1;3
1;4
1;3
5;43
1;3
4;53
1;7
1;6
1;16
1;10
4;34
1;12
1;5
1;15
1;11
1;4
1;5
1;2
2;22
1;4
1;9
1;13
1;5
1;14
1;4
1;14
1;13
1;9
1;2
1;3
1;8
5;32
2;10
4;48
1;6
1;8
1;10
1;5
1;3
1;9
3;29
1;2
3;21
1;9
1;8
2;20
2;16
1;7
12;12
1;2
1;14
3;18
1;5
2;17
1;17
1;8
1;8
4;37
1;3
1;3
4;23
1;2
2;15
1;5
1;13
2;16
1;5
2;12
1;3
1;4
2;18
1;4
1;6
1;4
2;18
3;21
1;14
1;7
1;4
2;9
1;4
1;2
1;9
1;13
1;10
2;9
1;9
1;3
2;17
1;5
1;13
2;17
1;6
2;14
2;17
2;17
1;12
1;3
1;1
1;1
1;2
1;7
1;7
1;4
1;13
1;4
1;12
1;2
1;10
1;3
1;10
4;4
8;72
1;18
1;7
1;5
1;14
3;24
1;3
1;11
1;4
2;27
1;7
1;11
1;11
1;5
1;7
1;5
1;16
1;17
1;11
1;16
1;9
1;8
1;2
1;1
1;3
2;10
1;7
1;7
1;6
1;2
1;1
1;1
1;7
1;4
1;3
1;7
1;6
1;14
1;5
1;10
1;1
1;8
1;2
1;7
1;5
1;6
1;2
1;3
1;4
1;5
1;5
1;11
1;10
1;9
1;1
1;3
1;4
1;5
1;12
1;5
1;6
1;12
1;7
1;7
1;6
1;5
1;3
2;18
1;3
1;13
1;5
1;2
1;5
1;9
1;12
1;15
1;4
1;10
1;13
1;5
1;7
1;11
1;13
1;12
1;4
1;9
1;2
1;11
1;5
1;3
1;8
1;1
1;9
2;11
1;3
1;9
1;4
1;7
1;2
1;6
1;9
1;8
1;1
1;1
1;10
1;3
1;17
2;24
1;1
1;1
1;3
1;9
1;6
1;5
1;5
1;14
1;7
1;6
1;1
1;3
1;5
